participant_id,group,training_mean_lt_rn_count,post_transfer_mean_suture_completion_score,post_transfer_mean_mean_active_suture_duration_s
S01,workload_adapted,36.833333333333336,14.5,46.707593450000005
S02,uniform,14.8,4.25,157.8051715
S03,workload_adapted,35.666666666666664,11.5,61.24264015
S04,uniform,20.0,4.625,159.04806250000001
S05,uniform,28.833333333333332,4.75,153.050909
S06,workload_adapted,37.833333333333336,4.25,176.89335699999998
S07,workload_adapted,15.5,4.0,141.59931749999998
S08,workload_adapted,18.833333333333332,4.5,111.86635000000001
S09,uniform,20.0,3.0,233.14437500000003
S10,uniform,17.833333333333332,4.625,149.9117895
S11,workload_adapted,16.0,3.75,284.42758335
S12,uniform,11.666666666666666,2.125,402.3809615
S13,workload_adapted,17.5,5.25,106.79266685
S14,uniform,20.333333333333332,7.875,76.0862286
S15,uniform,17.833333333333332,2.25,262.0177
S16,workload_adapted,9.666666666666666,2.5,290.1624765
S17,workload_adapted,35.0,7.375,98.54392365
S18,uniform,23.5,2.75,240.7372335
S19,workload_adapted,29.333333333333332,6.5,88.84545449999999
S20,uniform,16.5,1.75,359.4846665
S21,uniform,21.666666666666668,3.5,193.03485
S22,workload_adapted,27.333333333333332,3.25,194.0530235
