participant_id,group,post_transfer_mean_lt_rn_duration_s,post_transfer_mean_lt_rn_count,post_transfer_mean_rt_ln_duration_s,post_transfer_mean_rt_ln_count,post_transfer_mean_suture_completion_score,post_transfer_mean_mean_active_suture_duration_s,training_mean_lt_rn_duration_s,training_mean_lt_rn_count,training_mean_rt_ln_duration_s,training_mean_rt_ln_count,baseline_suture_completion_score,baseline_mean_active_suture_duration_s
S01,workload_adapted,301.065,64.0,49.682500000000005,13.0,14.5,46.7075934345,303.1931666666667,36.833333333333336,3.057166666666666,0.3333333333333333,2.5,214.9724
S02,uniform,263.546,31.5,11.5415,5.0,4.25,157.80517143,210.10340000000002,14.8,4.4504,0.8,1.5,442.62933333
S03,workload_adapted,352.66499999999996,90.5,2.067,1.0,11.5,61.2426401515,302.49516666666665,35.666666666666664,10.542333333333334,2.3333333333333335,2.0,345.0845
S04,uniform,222.14,40.5,2.5445,1.5,4.625,159.04806211,285.3371666666667,20.0,1.1561666666666666,0.6666666666666666,0.75,976.13733333
S05,uniform,231.67849999999999,36.5,5.644,3.5,4.75,153.05090909,251.9476666666667,28.833333333333332,0.0,0.0,1.0,550.913
S06,workload_adapted,198.6715,39.5,24.069499999999998,8.5,4.25,176.89335714499998,302.7295,37.833333333333336,4.915333333333334,1.0,2.0,325.2335
S07,workload_adapted,239.75,34.5,25.8805,8.5,4.0,141.59931746,211.25466666666668,15.5,19.456333333333333,3.1666666666666665,2.0,216.5215
S08,workload_adapted,65.455,11.5,5.0535,2.5,4.5,111.86635000000001,204.3465,18.833333333333332,1.2510000000000001,0.5,2.0,285.064
S09,uniform,212.247,36.0,0.701,0.5,3.0,233.14437500000003,202.34983333333332,20.0,4.476333333333334,1.1666666666666667,1.75,434.62571429
S10,uniform,214.95499999999998,27.5,35.546,11.0,4.625,149.91178947499998,310.9818333333333,17.833333333333332,42.882666666666665,7.833333333333333,3.0,181.05633333
S11,workload_adapted,203.0765,32.5,0.0,0.0,3.75,284.4275833335,253.94866666666667,16.0,0.0,0.0,1.5,323.94866667
S12,uniform,166.1335,22.0,6.604,2.0,2.125,402.38096154000004,184.57933333333335,11.666666666666666,6.171666666666667,1.0,2.5,236.3384
S13,workload_adapted,257.092,23.0,19.01,8.5,5.25,106.7926666685,221.787,17.5,39.48383333333334,7.5,3.0,187.70833333
S14,uniform,193.20499999999998,49.5,21.835,10.0,7.875,76.0862285715,176.08533333333332,20.333333333333332,27.757833333333334,7.0,3.0,233.64766667
S15,uniform,176.65449999999998,18.0,24.3885,5.5,2.25,262.0177,212.45016666666666,17.833333333333332,2.5911666666666666,0.16666666666666666,0.0,871.91130303
S16,workload_adapted,213.11950000000002,22.0,30.21,6.0,2.5,290.16247619,190.44366666666667,9.666666666666666,9.275166666666665,2.1666666666666665,0.0,871.91130303
S17,workload_adapted,298.97450000000003,47.0,0.0,0.0,7.375,98.543923808,326.4046666666666,35.0,1.329,0.3333333333333333,2.0,234.6365
S18,uniform,199.0695,19.5,15.0105,6.5,2.75,240.73723333499998,184.727,23.5,1.0398333333333334,0.3333333333333333,0.0,871.91130303
S19,workload_adapted,289.3315,40.0,0.0,0.0,6.5,88.845454545,312.2885,29.333333333333332,0.0,0.0,0.5,871.91
S20,uniform,360.582,27.0,3.985,3.5,1.75,359.484666665,354.86816666666664,16.5,0.0,0.0,0.0,871.91130303
S21,uniform,216.969,37.5,6.4719999999999995,3.5,3.5,193.03485,232.725,21.666666666666668,0.0,0.0,1.0,306.3
S22,workload_adapted,224.88049999999998,35.0,9.341000000000001,3.0,3.25,194.05302381,358.682,27.333333333333332,7.534666666666666,1.6666666666666667,2.0,366.4685
