model_outcome,outcome_variable,term,estimate,std_error,ci95_low,ci95_high,t,df,p_value,partial_r2,n,model_df_resid,r2,adjusted_r2,standardized,se_type,p_value_holm_primary_family
Transfer suture-completion score,post_transfer_mean_suture_completion_score,Intercept,-0.42447956283176785,2.4333593353676704,-5.582970912787202,4.734011787123666,-0.17444179191382386,16,0.8637064645183817,0.0018982609251494648,22,16,0.5554898338136067,0.4165804068803588,False,classical,
Transfer suture-completion score,post_transfer_mean_suture_completion_score,training_mean_lt_rn_duration_s,-0.00722293489389024,0.01115376120923961,-0.030867852387605758,0.016421982599825278,-0.6475784050233089,16,0.5264412255997635,0.025540450241681875,22,16,0.5554898338136067,0.4165804068803588,False,classical,1.0
Transfer suture-completion score,post_transfer_mean_suture_completion_score,training_mean_lt_rn_count,0.2736586105446762,0.0827621572415693,0.09821067483329074,0.4491065462560617,3.3065669101146216,16,0.004457209458918585,0.40594172771959086,22,16,0.5554898338136067,0.4165804068803588,False,classical,0.031200466212430094
Transfer suture-completion score,post_transfer_mean_suture_completion_score,training_mean_rt_ln_duration_s,-0.08197160968070172,0.2462147954910147,-0.6039236593887812,0.4399804400273778,-0.33292722932116875,16,0.7435117190634892,0.006879873197684111,22,16,0.5554898338136067,0.4165804068803588,False,classical,1.0
Transfer suture-completion score,post_transfer_mean_suture_completion_score,training_mean_rt_ln_count,0.7451898594537986,1.2433168967987833,-1.8905242186812679,3.380903937588865,0.5993563357599885,16,0.5573277772338078,0.021958738935456266,22,16,0.5554898338136067,0.4165804068803588,False,classical,1.0
Transfer suture-completion score,post_transfer_mean_suture_completion_score,group_workload_adapted,0.9923329066449714,1.1078042996346582,-1.356107298650631,3.3407731119405737,0.895765530944619,16,0.3836569576281314,0.04775484947813902,22,16,0.5554898338136067,0.4165804068803588,False,classical,
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,Intercept,330.0619446584873,70.46513721050415,180.68252687558672,479.4413624413878,4.684046008063195,16,0.00024885604328353457,0.5782846872609017,22,16,0.6075954133954682,0.484968980081552,False,classical,
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,training_mean_lt_rn_duration_s,0.3426931785520265,0.3229902392954693,-0.34201554132717993,1.027401898431233,1.0610016553426964,16,0.30444309433852124,0.06573295697995617,22,16,0.6075954133954682,0.484968980081552,False,classical,1.0
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,training_mean_lt_rn_count,-8.489565525301131,2.396623746070505,-13.570180904835489,-3.4089501457667737,-3.542302182067832,16,0.0027102270839087267,0.43953855315724316,22,16,0.6075954133954682,0.484968980081552,False,classical,0.021681816671269814
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,training_mean_rt_ln_duration_s,2.133895730538804,7.129879708008322,-12.98077404527813,17.24856550635574,0.29928916306147496,16,0.7685721076726316,0.005567207876891883,22,16,0.6075954133954682,0.484968980081552,False,classical,1.0
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,training_mean_rt_ln_count,-27.536186252063395,36.00392858370296,-103.8611052494389,48.78873274531211,-0.7648106008222543,16,0.4555175575378557,0.03526907076403351,22,16,0.6075954133954682,0.484968980081552,False,classical,1.0
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,group_workload_adapted,-33.09124881182171,32.07975938512503,-101.09730073009104,34.914803106447614,-1.031530455529716,16,0.3176336459190937,0.06235651934162697,22,16,0.6075954133954682,0.484968980081552,False,classical,
