group,group_label,occasion,occasion_label,estimate,standard_error,ci95_low,ci95_high,z_value,p_value
uniform,Uniform difficulty,day1_session1,Day 1/S1,16.241965678578758,2.8036474544642704,10.746917642481387,21.73701371467613,5.7931555027421675,6.907609405238827e-09
uniform,Uniform difficulty,day1_session2,Day 1/S2,17.454545454545475,2.74384743873475,12.076703295552893,22.832387613538057,6.361339631402451,2.0000165525445023e-10
uniform,Uniform difficulty,day2_session1,Day 2/S1,15.909090909090919,2.7438474387347496,10.531248750098337,21.2869330680835,5.798096018205357,6.7072048056322985e-09
uniform,Uniform difficulty,day2_session2,Day 2/S2,17.818181818181827,2.7438474387347496,12.440339659189245,23.19602397717441,6.493867540389999,8.366031213974155e-11
uniform,Uniform difficulty,day3_session1,Day 3/S1,25.000000000000004,2.7438474387347496,19.62215784100742,30.377842158992586,9.111293742894128,8.140535125262839e-20
uniform,Uniform difficulty,day3_session2,Day 3/S2,23.454545454545467,2.7438474387347496,18.076703295552885,28.83238761353805,8.54805012969704,1.2518534801047976e-17
workload_adapted,Workload-adapted,day1_session1,Day 1/S1,24.545454545454554,2.743847438734751,19.16761238646197,29.92329670444714,8.945633856659686,3.6982115923827875e-19
workload_adapted,Workload-adapted,day1_session2,Day 1/S2,26.181818181818223,2.7438474387347513,20.803976022825637,31.559660340810808,9.542009447103677,1.400911041133683e-21
workload_adapted,Workload-adapted,day2_session1,Day 2/S1,24.454545454545496,2.743847438734751,19.07670329555291,29.83238761353808,8.912501879412812,4.989371118425026e-19
workload_adapted,Workload-adapted,day2_session2,Day 2/S2,27.636363636363676,2.7438474387347496,22.258521477371094,33.01420579535626,10.072121083053885,7.337825677240716e-24
workload_adapted,Workload-adapted,day3_session1,Day 3/S1,23.45454545454548,2.743847438734751,18.076703295552896,28.832387613538067,8.54805012969704,1.2518534801047976e-17
workload_adapted,Workload-adapted,day3_session2,Day 3/S2,26.181818181818215,2.7438474387347505,20.80397602282563,31.5596603408108,9.542009447103677,1.400911041133683e-21
