group,group_label,occasion,occasion_label,comparison,estimate,standard_error,ci95_low,ci95_high,z_value,p_value,p_value_holm,adjustment_family
uniform,Uniform difficulty,day1_session2,Day 1/S2,Day 1/S2 minus Day 1/S1,1.2125797759667147,2.441479319473793,-3.57263175920128,5.997791311134709,0.4966578116369462,0.6194303777614388,1.0,Five comparisons with first session within group
uniform,Uniform difficulty,day2_session1,Day 2/S1,Day 2/S1 minus Day 1/S1,-0.3328747694878391,2.4414793194737925,-5.118086304655833,4.452336765680155,-0.13634142498474366,0.8915513772179094,1.0,Five comparisons with first session within group
uniform,Uniform difficulty,day2_session2,Day 2/S2,Day 2/S2 minus Day 1/S1,1.5762161396030683,2.441479319473792,-3.2089953955649246,6.361427674771061,0.6455988084891039,0.5185392091953582,1.0,Five comparisons with first session within group
uniform,Uniform difficulty,day3_session1,Day 3/S1,Day 3/S1 minus Day 1/S1,8.758034321421245,2.4414793194737925,3.9728227862532517,13.54324585658924,3.5871834963192923,0.0003342690981012586,0.001671345490506293,Five comparisons with first session within group
uniform,Uniform difficulty,day3_session2,Day 3/S2,Day 3/S2 minus Day 1/S1,7.212579775966709,2.4414793194737916,2.4273682407987174,11.997791311134701,2.9541842596976107,0.0031349676499959228,0.012539870599983691,Five comparisons with first session within group
workload_adapted,Workload-adapted,day1_session2,Day 1/S2,Day 1/S2 minus Day 1/S1,1.636363636363665,2.3725684364303246,-3.0137850498962795,6.28651232262361,0.6897013427463762,0.4903820212892417,1.0,Five comparisons with first session within group
workload_adapted,Workload-adapted,day2_session1,Day 2/S1,Day 2/S1 minus Day 1/S1,-0.09090909090906152,2.3725684364303317,-4.74105777716902,4.559239595350897,-0.03831674126367439,0.9694351429896175,1.0,Five comparisons with first session within group
workload_adapted,Workload-adapted,day2_session2,Day 2/S2,Day 2/S2 minus Day 1/S1,3.090909090909121,2.372568436430338,-1.5592395953508502,7.741057777169092,1.3027692029653597,0.19265356788499477,0.9632678394249738,Five comparisons with first session within group
workload_adapted,Workload-adapted,day3_session1,Day 3/S1,Day 3/S1 minus Day 1/S1,-1.0909090909090704,2.3725684364303348,-5.741057777169035,3.5592395953508946,-0.4598008951642321,0.6456591406294614,1.0,Five comparisons with first session within group
workload_adapted,Workload-adapted,day3_session2,Day 3/S2,Day 3/S2 minus Day 1/S1,1.6363636363636616,2.3725684364303303,-3.0137850498962946,6.286512322623618,0.689701342746373,0.4903820212892438,1.0,Five comparisons with first session within group
