metric,metric_label,later_occasion,earlier_occasion,comparison,estimate,standard_error,ci95_low,ci95_high,z_value,p_value,p_value_holm,adjustment_family
lt_rn_duration_s,LT-RN total duration (s),immediate_day3,baseline,Immediate (Day 3) minus Baseline,51.89381818181829,16.922698425507225,18.725938746591453,85.06169761704513,3.066521477662205,0.00216565249192336,0.00433130498384672,Three transfer-test comparisons within metric
lt_rn_duration_s,LT-RN total duration (s),delayed_day7,baseline,Delayed (Day 7) minus Baseline,54.19436363636365,16.922698425507242,21.026484201136775,87.36224307159051,3.202465840475983,0.0013625645911727435,0.00408769377351823,Three transfer-test comparisons within metric
lt_rn_duration_s,LT-RN total duration (s),delayed_day7,immediate_day3,Delayed (Day 7) minus Immediate (Day 3),2.3005454545453574,16.922698425507228,-30.867333980681487,35.4684248897722,0.13594436281378114,0.8918652645377442,0.8918652645377442,Three transfer-test comparisons within metric
lt_rn_count,LT-RN count,immediate_day3,baseline,Immediate (Day 3) minus Baseline,13.045454545454534,3.4605121929681917,6.262975279175157,19.827933811733914,3.7698045312376234,0.00016337545178935338,0.0004901263553680601,Three transfer-test comparisons within metric
lt_rn_count,LT-RN count,delayed_day7,baseline,Delayed (Day 7) minus Baseline,11.04545454545454,3.460512192968192,4.262975279175161,17.827933811733917,3.1918554044973613,0.0014136208022831594,0.0028272416045663188,Three transfer-test comparisons within metric
lt_rn_count,LT-RN count,delayed_day7,immediate_day3,Delayed (Day 7) minus Immediate (Day 3),-1.9999999999999947,3.4605121929681917,-8.782479266279372,4.782479266279383,-0.5779491267402618,0.5632984663735929,0.5632984663735929,Three transfer-test comparisons within metric
rt_ln_duration_s,RT-LN total duration (s),immediate_day3,baseline,Immediate (Day 3) minus Baseline,5.87813636363637,3.1759773026420564,-0.34666476525872714,12.102937492531467,1.8508118300299001,0.06419662856887627,0.12839325713775254,Three transfer-test comparisons within metric
rt_ln_duration_s,RT-LN total duration (s),delayed_day7,baseline,Delayed (Day 7) minus Baseline,9.306500000000007,3.175977302642056,3.0816988711049103,15.531301128895104,2.9302791277059965,0.00338657650514924,0.010159729515447719,Three transfer-test comparisons within metric
rt_ln_duration_s,RT-LN total duration (s),delayed_day7,immediate_day3,Delayed (Day 7) minus Immediate (Day 3),3.4283636363636365,3.175977302642056,-2.79643749253146,9.653164765258733,1.079467297676096,0.28037946448922146,0.28037946448922146,Three transfer-test comparisons within metric
rt_ln_count,RT-LN count,immediate_day3,baseline,Immediate (Day 3) minus Baseline,1.7727272727272707,0.8113042334180066,0.1826001947231004,3.362854350731441,2.1850339240297196,0.028886359328248127,0.057772718656496254,Three transfer-test comparisons within metric
rt_ln_count,RT-LN count,delayed_day7,baseline,Delayed (Day 7) minus Baseline,3.2727272727272694,0.8113042334180066,1.682600194723099,4.86285435073144,4.033908782824098,5.485661993718365e-05,0.00016456985981155094,Three transfer-test comparisons within metric
rt_ln_count,RT-LN count,delayed_day7,immediate_day3,Delayed (Day 7) minus Immediate (Day 3),1.4999999999999987,0.8113042334180071,-0.09012707800417252,3.09012707800417,1.8488748587943777,0.0644758847688167,0.0644758847688167,Three transfer-test comparisons within metric
